Timestamp,I consent that I have been sufficiently informed about this study and that my annotations and survey responses will be anonymously used solely for this research:,1. Identifier/Alias:,2. Age:,3. Gender,4. Which of the following statements best describe your musical background?,5. Please specify what musical instrument you primarily play (leave blank if you do not play any musical instruments):,"6. If you do play a musical instrument, how proficient do you consider yourself with it?",7. Learnability,8. Performance,9. Productivity,10. Accessibility,11. User friendliness,12. Information scent,13. Flow,14. Customisation,15. User engagement,16. Which three aspects of the tool do you think could be improved the most?,17. Which three aspects of the tool do you like the most?,"18. Did you use the ""Find Exact Occurrences"" feature in the tool? If so, did you find it helpful?",19. Were there any features that you felt were missing from the tool?,20. How much would you prefer using this tool to annotating using the traditional method (circling or highlighting notes in physical sheet music)?,21. Why?,22. Do you have any other comments about this tool or the study?
2019/08/12 1:21:29 am EET,Yes,15,22 - 28,Female,I enjoy listening to music; I can read sheet music,,,5,5,4,5,5,4,4,2,5,"Fixed numbering of patterns and sections, somewhat hard to distinguish among bits of the same pattern if they're close together, overlapping patterns can be a bit hard to distinguish without highlighting the appropiate ones.","It was very easy to learn how to use, selecting sections of the score was very straightforward and allowed for precise adjustments before confirmation, the different colours made it easy to distinguish the various patterns across the song.",I didn't use it because it felt like cheating.,"I don't think there was a way to play only the highlighted bits of a specific pattern, which might've been helpful when revising. (then again, not a major issue) A shortcut to the various patterns might've been useful (e.g: alt+1 for pattern 1 and so on, alt+a or alt+d to select previous or next pattern...)",5,"Modifications end up being neater, you can highlight the patterns you're interested in to find them with a quick glance.",:)
2019/07/25 9:36:04 pm EET,Yes,16,16 or under,Male,I enjoy listening to music; I can read sheet music; I have experience using piano roll interfaces,Piano,1,4,4,2,2,2,3,4,2,2,The similarity of the longer keys should be picked up,"colours, simplicity, confidence level",Yes to a certain extent,not much customization,4, Its much easier and faster,the application is very well programmed and designed.
2019/07/13 8:43:00 pm EET,Yes,17,17 - 21,Male,I enjoy listening to music; I am a hobbyist/professional music composer; I can read sheet music,Guitar,2,4,3,3,4,3,4,4,3,4,"Bugfixes, because I have experienced some crashes, while I wanted to delete an annotation. ","User friendliness, cool interface and pattern recognition works splendid.","Yes, it worked very well","No, I guess not",4,It's easy in use and works well,"No, I'm wishing you luck"
2019/07/02 8:25:39 pm EET,Yes,18,41 - 60,Female,I enjoy listening to music,,,4,5,5,3,5,5,5,5,5,Can't think of anything that could be improved,That it finds the exact occurrences automatically. The look of the tool The fact that it uses different colours to distinguish patterns,yes very much so,no,5,i can't read sheet music so for me it's more helpful to use this tool,No
2019/08/17 9:37:40 am EET,Yes,19,41 - 60,Male,I enjoy listening to music; I can read sheet music; I possess academic qualifications in music,Piano,1,5,5,5,4,4,5,5,4,5,Perhpas more enhanced graphics,"User Friendly, intuitive and easy to learn","Yes, it worked great. Amazing how easy it was to find patterns",No,5,Speed and ease of use,Over  i think it is an excellent piece of work
2019/08/14 2:16:38 am EET,Yes,20,29 - 40,Other,I enjoy listening to music; I can read sheet music,Viola,3,4,3,2,4,2,4,4,2,4,"I couldn't figure out how to change colors, and the ability to not edit patterns if I either missed or note or wanted to change a note was a little annoying- having to delete and redo was bothersome","The find all button, even though I would then search for additional patterns","Yes, and I did",Reorganizing the patterns to be in order they appear in the midi- some of my patterns are out of order either because I couldn't edit them or because I felt it necessary to add in another.,2,"I like the tool but it's still a little clunky. Even in the end with sound I felt like I was relying just as much on sight, which is a more traditional sheet music sort of thing.",It wasn't clear whether 3 or 1 was the most confident so I've put 3 as most confident and 1 as least confident in my .jams files
2019/08/14 8:14:56 pm EET,Yes,21,17 - 21,Male,I listen to music in the car and while playing games.,,,4,4,3,5,5,4,4,3,3,"I would like to be able to scroll out to see more of the music on 1 screen, rather than scrolling along. (If this was already an option I had no idea how to do it).",Easy to learn.  Simple but effective. Runs smoothly.,"Yes It was useful for the simpler songs, after that it ceased finding similar music as there was very few of the exact same notes.",No But I am no expert on the matter.,5,"I have no idea how to annotate sheets, however I believe this tool was easier to pick up and use as a beginner than paper and pens would have been.",No.
2019/07/05 1:30:44 pm EET,Yes,22,22 - 28,Female,I enjoy listening to music; I can read sheet music,Flute,3,4,4,4,3,3,3,3,4,2,1. zoom could be more accessible 2. showing a specific pattern with color when clicking on it 3. delete pattern button is easy to press by accident when you want to set confidence level,1. easy to mark a pattern by selecting notes 2. visualization of labeled patterns (the column on the left of the interface) 3. function to find the patterns that are the same,Yes I did use it. I find it very helpful.,No,5,"It is easier to listen to the music and see the visualization at the same time, easy to correct mistakes, find exact occurencies feature",/
2019/07/25 7:02:00 pm EET,Yes,23,22 - 28,Female,"I enjoy listening to music; I am a hobbyist/professional music composer; I can read sheet music; I have experience using piano roll interfaces; I possess academic qualifications in music; I have experience annotating musical patterns with traditional ""pen and paper"" approaches; I have experience annotating musical patterns with digital software",Percussion,3,4,4,5,4,3,3,5,3,5,"1) How prone it is to crashes, 2) some of the colours of the pattern indicators are a bit too dark even on a screen that insists on being bright, and 3) perhaps recognising sustained notes on MIDIs I've loaded that have had it play on, say for example, Windows Media Player or FL. On that problem, all the notes that I'd had sustain pedal pressed down, when opened in the tool, turn out to be almost always staccato with no indication that the pedal has been pressed down.","1) Its simplicity. 2) The fact that it has a piano roll that functions like most DAWs and is pretty intuitive to use. 3) The confidence indicator, which could be useful when annotating a collaborator's MIDI and trying to point out patterns to use.","No, I didn't. I basically only relied on my eyes and ears.","Naming leitmotifs and patterns. In the event we're trying to explain what each pattern and annotation corresponds to, say to someone singing, it'd be useful to say ""PART WHICH YOU ARE TO SING"" or any other such name that may be relevant to the project.",3,"I prefer neither, because I like trying out new methods, and this one not only is as valid as traditional methods, but also as intuitive.","My doujin circle could use a refined version of this in future. There are plenty of MIDIs being exchanged between us, especially to vocalists and solo instrumentalists, denoting parts to play or sing, and it'd be useful for them to see their parts in greater detail and with context."
2019/06/20 4:25:42 am EET,Yes,24,22 - 28,Male,I enjoy listening to music; I can read sheet music; I have experience using piano roll interfaces,Piano,3,5,4,4,5,3,5,4,2,4,"Flow, Customisation, User Friendliness","Clarity, peformance, user engagement",Yes,"If implemented, I couldn't figure out how to edit an already-existing occurence of a pattern",4,The tool clearly provides benefits where clarity and scale are concerned.,"It's very interesting, and I'd love to learn more. Some slightly more complex samples could have been useful, but I'm not sure how well they fit within the scope, of course."
2019/07/25 8:49:09 pm EET,Yes,25,41 - 60,Female,I can read sheet music; I have experience using piano roll interfaces; I possess academic qualifications in music,Piano,2,4,3,5,4,4,4,5,5,5,When an empty pattern was deleted it just crashed,Colours and music could be heard,Yes. It was faster with the tool.,No,5,Technology makes the task easier.,Well done! Keep it up!
2019/08/04 9:13:23 pm EET,Yes,26,17 - 21,Male,I enjoy listening to music; I can read sheet music,,,3,4,2,2,2,2,4,1,1,"User Engagement, User Customisation, Information Scent","Learnability, Accessibility, Flow","Yes, it was.",Nope,1,Because I can clearly read the notes on sheet paper.,Nope
